instance,path,configuration,suppression_state,transform_4x4
"侧挂轴固定件-2","E:\2025赛季\串联腿\侧挂轴固定件.SLDPRT","默认","0","1;0;0;0;1;0;0;0;1;-2.4033780269492043E-15;0.019999999999999768;-0.252;1;0;0;0"
"镜向小腿-4","E:\2025赛季\串联腿\镜向小腿.SLDPRT","默认","0","0.81893525064380368;-0.57388592529610838;-8.326800560450841E-17;0.57388592529610838;0.81893525064380368;6.818979768424987E-17;2.9057939900624436E-17;-1.0362936550171086E-16;1;-0.20473381266095089;-0.026733991412147152;-0.30190000000000039;1;0;0;0"
"膝关节锁盖M27-2","E:\2025赛季\串联腿\膝关节锁盖M27.SLDPRT","默认","0","-1;1.0263416486754036E-48;-2.4651903288156619E-32;-1.0263416486754036E-48;1;8.3266726846886778E-17;2.4651903288156619E-32;8.3266726846886778E-17;-1;-0.20473381266095089;-0.026733991412147152;-0.27910000000000007;1;0;0;0"
"包胶轴承 6-30-6-2","E:\2025赛季\串联腿\包胶轴承 6-30-6.SLDPRT","默认","0","0.97872241779429625;0.20518876408538322;0;-0.20518876408538322;0.97872241779429625;0;0;0;1;0.23412132034355965;-0.10539949493661191;-0.218;1;0;0;0"
"M3508改 268：17-3","E:\2025赛季\串联腿\M3508改 268：17.SLDASM","默认","0","0.97539205100696547;0.22047754269409217;-6.5295460568214982E-18;0.22047754269409217;-0.97539205100696547;-1.0471958318791248E-16;-2.9457183693728078E-17;1.007030307567366E-16;-1;-0.0034875477769714266;-0.1639282029801116;-0.24058139213989349;1;0;0;0"
"非标轴承14-28-8-2","E:\2025赛季\串联腿\非标轴承14-28-8.SLDPRT","默认","0","-1;1.0263416486754036E-48;-2.4651903288156619E-32;-1.0263416486754036E-48;1;8.3266726846886778E-17;2.4651903288156619E-32;8.3266726846886778E-17;-1;-7.0055827802716872E-19;0.020000000000000025;-0.2787;1;0;0;0"
"C620无刷电机调速器-2","E:\鹅颈方案1\正式版（大概吧）\C620无刷电机调速器.SLDASM","默认","0","0.81893525064380357;-0.57388592529610827;1.1874912986854788E-16;6.9757941761634124E-18;2.1687559867655783E-16;1;-0.57388592529610838;-0.81893525064380379;1.8161038285640764E-16;-0.072125311886201887;-0.11926496636702637;-0.31630000000000041;1;0;0;0"
"小腿电机主动链轮20T-2","E:\2025赛季\串联腿\小腿电机主动链轮20T.SLDPRT","默认","0","-0.58949472818213233;0.80777222373975821;6.726054910864074E-17;0.80777222373975821;0.58949472818213233;4.9085296509221409E-17;2.4651903288156619E-32;8.326672684688679E-17;-1;-0.099612047464149658;1.7877945149351564E-14;-0.26100000000000001;1;0;0;0"
"MG8016-i6-4","E:\2025赛季\串联腿\MG8016-i6.SLDPRT","默认","0","0.80777222373962776;-0.58949472818231097;1.1975524995748576E-16;0.58949472818231097;0.80777222373962776;2.4476875140301472E-16;-2.4102485313849705E-16;-1.2712231010069258E-16;1;0.099612047464146147;-4.1453722325467697E-15;-0.24580000000000002;1;0;0;0"
"包胶轴承 6-30-6-3","E:\2025赛季\串联腿\包胶轴承 6-30-6.SLDPRT","默认","0","-0.97872241779429625;0.20518876408538322;0;0.20518876408538322;0.97872241779429625;0;0;0;-1;-0.23412132034355965;-0.10539949493661191;-0.034000000000000002;1;0;0;0"
"包胶轴承 6-30-6-4","E:\2025赛季\串联腿\包胶轴承 6-30-6.SLDPRT","默认","0","-0.97872241779429625;0.20518876408538322;0;0.20518876408538322;0.97872241779429625;0;0;0;-1;-0.23412132034355965;-0.10539949493661191;-0.21199999999999999;1;0;0;0"
"大腿电机主动链轮20T-2","E:\2025赛季\串联腿\大腿电机主动链轮20T.SLDPRT","默认","0","-0.40480390213880951;0.91440352187269791;2.6155356154316411E-16;0.9144035218726978;0.4048039021388094;2.3983071098712198E-16;1.1342414444888138E-16;3.3624990549372862E-16;-1;0.099612047464148493;-5.7842813387921742E-15;-0.27000000000000002;1;0;0;0"
"塞打螺栓 M6-φ8-20-10","E:\2025赛季\串联腿\塞打螺栓 M6-φ8-20.SLDPRT","默认","0","0.54318759918816428;0.83961135776512597;1.7956424394988432E-16;-6.8103076525818831E-18;-2.094599693773346E-16;1;0.83961135776512597;-0.54318759918816428;-1.0805804623711828E-16;-0.092130215697427909;-0.0010302961354662038;-0.28650000000000009;1;0;0;0"
"横梁内嵌打印件-4","E:\2025赛季\串联腿\横梁内嵌打印件.SLDPRT","默认","0","-1;1.0263416486754036E-48;-2.4651903288156619E-32;-1.0263416486754036E-48;1;8.3266726846886778E-17;2.4651903288156619E-32;8.3266726846886778E-17;-1;0.069999999999999937;-0.10049999999999995;-0.21200000000000002;1;0;0;0"
"电机梁两头内嵌打印件-2","E:\2025赛季\串联腿\电机梁两头内嵌打印件.SLDPRT","默认","0","-1;0;0;0;1;0;0;0;-1;0.069999999999999965;-0.065500000000000003;-0.0012000000000000031;1;0;0;0"
"横梁内嵌打印件-2","E:\2025赛季\串联腿\横梁内嵌打印件.SLDPRT","默认","0","-1;0;0;0;1;0;0;0;-1;0.069999999999999937;-0.10049999999999996;-6.9388939039072284E-18;1;0;0;0"
"MG8016-i6-2","E:\2025赛季\串联腿\MG8016-i6.SLDPRT","默认","0","0.80777222373962776;-0.58949472818231097;-1.68840546466722E-16;-0.58949472818231097;-0.80777222373962776;1.7750820229438481E-16;-2.4102485313849705E-16;-4.3855583253805806E-17;-1;0.099612047464147327;-2.5398313796873853E-15;-0.0062000000000000006;1;0;0;0"
"电机梁两头内嵌打印件-3","E:\2025赛季\串联腿\电机梁两头内嵌打印件.SLDPRT","默认","0","1;0;0;0;1;0;0;0;1;-0.069999999999999979;-0.065500000000000017;-0.25080000000000002;1;0;0;0"
"横梁内嵌打印件-3","E:\2025赛季\串联腿\横梁内嵌打印件.SLDPRT","默认","0","1;0;0;0;1;0;0;0;1;-0.069999999999999937;-0.10049999999999995;-0.252;1;0;0;0"
