mate_name,mate_type,alignment,entity_index,component,entity_params,error_code,suppressed
"重合61","0","1","0","膝关节二级长连杆-1","-0.24649618925665986;0.023074681538235501;0.074499999999999969;-3.0867466700753498E-16;1.9711932361444538E-16;1;0;0","0","False"
"重合61","0","1","1","防松螺母M6-3","-0.13389259229313683;0.048778376814916487;0.074499999999999997;3.479730899685042E-17;-5.4350444260512812E-17;-1;0;0","0","False"
"同心63","1","0","0","法兰轴承F698 8-19-6-10","-0.24649618925665986;0.023074681538235501;0.054400000000000392;0;-2.0816681711721685E-17;-1;0.0040000000000000001;0","0","False"
"同心63","1","0","1","塞打螺栓 M6-φ8-20-4","-0.24649618925665986;0.023074681538235501;0.042900000000000396;1.7347234759768071E-16;3.4694469519536142E-18;-1;0.0039999999999999983;0","0","False"
"重合62","0","1","0","法兰轴承F698 8-19-6-10","-0.24649618925665986;0.023074681538235501;0.048400000000000394;0;-2.0816681711721685E-17;-1;0;0","0","False"
"重合62","0","1","1","塞打螺栓 M6-φ8-20-4","-0.24652416805606167;0.029574621321555347;0.048400000000000394;-1.7347234759768071E-16;-3.4694469519536142E-18;1;0;0","0","False"
"同心64","1","1","0","塞打螺栓 M6-φ8-20-4","-0.24649618925665986;0.023074681538235501;0.042900000000000396;1.7347234759768071E-16;3.4694469519536142E-18;-1;0.0029999999999999966;0","0","False"
"同心64","1","1","1","防松螺母M6-4","-0.24649618925665986;0.023074681538235501;0.074499999999999969;-3.479730899685042E-17;5.4350444260512812E-17;1;0.0030000000000000005;0","0","False"
"重合63","0","1","0","膝关节二级长连杆-1","-0.24649618925665986;0.023074681538235501;0.074499999999999969;-3.0867466700753498E-16;1.9711932361444538E-16;1;0;0","0","False"
"重合63","0","1","1","防松螺母M6-4","-0.24649618925665986;0.023074681538235501;0.074499999999999969;3.479730899685042E-17;-5.4350444260512812E-17;-1;0;0","0","False"
"重合65","0","1","0","法兰轴承F698 8-19-6-5","-0.092130215697427881;-0.0010302961354661775;0.064000000000000001;1.1408256170817752E-15;6.6753670172185774E-16;1;0;0","0","False"
"重合65","0","1","1","防松螺母M6-5","-0.092130215697427881;-0.0010302961354661775;0.064000000000000001;3.4797308996850309E-17;-5.4350444260512683E-17;-1;0;0","0","False"
"同心67","1","0","0","大侧板-1","0.099612047464149631;1.0520127208882557E-17;0.0080000000000000002;0;0;-1;0.030250000000000023;0","0","False"
"同心67","1","0","1","串联腿装配方案2","0.095000000000000001;2.0393075448366951E-17;-0.051999999999999998;-9.9529349412047897E-17;5.5329501360254424E-17;-1;0.035499999999999997;0","0","False"
"重合66","0","1","0","大侧板-1","0;0;0;0;0;-1;0;0","0","False"
"重合66","0","1","1","串联腿装配方案2","0.12037830439350136;-0.032201578627619937;-3.4694469519536142E-18;9.9529349412047897E-17;-5.5329501360254424E-17;1;0;0","0","False"
"相切1","4","1","0","大腿-1","1.5620731417354391E-17;0.020000000000000021;0.051500000000000302;-1.5956432753541584E-16;-1.2549531729330198E-15;-1;0.037999999999999999;0","0","True"
"相切1","4","1","1","膝关节一级长连杆-1","0.089454235571033019;0.032774573902963171;0.052999999999999971;-0.54457141937378073;0.83871447418130674;2.2457752480661387E-19;0;0","0","True"
"同心68","1","1","0","膝关节螺母M27-1","-0.20473381266103841;-0.026733991411763802;0.03240000000000038;2.7755575615629012E-17;-1.1102230246251615E-16;1;0.016350000000000003;0","0","False"
"同心68","1","1","1","膝关节碗组限位环-1","-0.20677223362556188;-0.016677559917421713;0.049400000000000256;-2.7755575615628907E-17;1.2490009027033009E-16;-1;0.01635;0","0","False"
"重合67","0","0","0","碗组轴承32.7-41.8-6-2","-0.20473381266095089;-0.026733991412147166;0.047900000000000394;3.2992170768375023E-19;9.6384638856039216E-17;-1;0.78539816339744695;0","0","False"
"重合67","0","0","1","膝关节碗组限位环-1","-0.20677223362556188;-0.016677559917421713;0.050900000000000271;-2.7755575615628907E-17;1.2490009027033009E-16;-1;0.78539816339744417;0","0","False"
