instance,path,configuration,suppression_state,transform_4x4
"塞打螺栓M5-φ6-20-改1.15-8","D:\WheelLeg\塞打螺栓M5-φ6-20-改1.15.SLDPRT","默认","2","-1.8728397838647577E-16;0.94984764934769605;0.31271303623075342;-1;-2.0955694237848671E-16;3.7616566542944684E-17;1.0126119502175681E-16;-0.31271303623075342;0.94984764934769605;-0.087499999999997857;0.042499999999999073;-0.019999999999999515;1;0;0;0"
"包胶轴承 30-6-6-改1.15-7","D:\WheelLeg\包胶轴承 30-6-6-改1.15.SLDPRT","默认","2","-3.0688816650712101E-16;0.98192891909560509;-0.1892500933784097;-5.914801126786469E-17;0.1892500933784097;0.98192891909560509;1;3.1253613227716001E-16;5.2860270745738786E-22;-0.081999999999999643;0.042500000000000059;-0.019999999999999976;1;0;0;0"
"垫片 6-10-1-改1.15-7","D:\WheelLeg\垫片 6-10-1-改1.15.SLDPRT","默认","2","-2.7755575615628914E-16;0.32118997460026411;-0.94701478352572832;1.1102230246251573E-16;0.9470147835257281;0.32118997460026405;1;-1.599163546307169E-17;-2.9850865484066611E-16;-0.08300000000000006;0.042499999999999982;-0.020000000000000004;1;0;0;0"
"垫片 6-10-1-改1.15-8","D:\WheelLeg\垫片 6-10-1-改1.15.SLDPRT","默认","2","-2.7491295548508455E-16;0.34301329054325386;-0.93933055018491207;1.1741386769042093E-16;0.93933055018491207;0.34301329054325386;1;-1.5991635463071632E-17;-2.9850865484066621E-16;-0.075999999999999998;0.042499999999999948;-0.019999999999999987;1;0;0;0"
"防松螺母M5-改1.15-6","D:\WheelLeg\防松螺母M5-改1.15.SLDPRT","默认","2","-2.9068625871246115E-16;-0.49999999999999967;0.86602540378443893;3.3694991545832079E-16;0.86602540378443882;0.49999999999999978;-0.99999999999999989;4.8970700814850556E-16;-8.9677142234344515E-17;0.06300000000000007;0.042499999999999982;-0.019999999999999997;1;0;0;0"
"防松螺母M5-改1.15-2","D:\WheelLeg\防松螺母M5-改1.15.SLDPRT","默认","2","9.1498120333542681E-17;0.60621840417869333;0.79529821226697006;1.6042522386194289E-16;-0.79529821226697006;0.60621840417869333;0.99999999999999978;7.2118049245981326E-17;-1.7002101472665121E-16;0.19200000000000009;-0.13393543895853338;0.075179453606658536;1;0;0;0"
"包胶轴承 30-6-6-改1.15-4","D:\WheelLeg\包胶轴承 30-6-6-改1.15.SLDPRT","默认","2","2.4808452590319688E-16;0.89866808818982746;-0.43862930507347631;1.1595947809576707E-16;0.43862930507347631;0.89866808818982746;1;-2.7380887189673505E-16;4.6080607085888713E-18;0.063000000000000056;0.042500000000000017;-0.020000000000000014;1;0;0;0"
"垫片 6-10-1-改1.15-1","D:\WheelLeg\垫片 6-10-1-改1.15.SLDPRT","默认","2","2.7755575615628909E-16;0.32118997460026405;-0.9470147835257281;-1.1102230246251573E-16;0.9470147835257281;0.32118997460026405;0.99999999999999989;1.5991635463071672E-17;2.9850865484066616E-16;0.082000000000000059;0.042499999999999982;-0.020000000000000004;1;0;0;0"
"髋关节夹板-改1.15-1","E:\2025赛季\串联腿v2\髋关节夹板-改1.15.SLDPRT","默认","0","1.6161745891143573E-15;-0.15511553816818133;0.98789633556299594;-4.2922796148293189E-16;0.98789633556299594;0.15511553816818133;-1;-6.7472652143437598E-16;1.5300330279738478E-15;0.1305;-1.3877787807814615E-16;0.13049999999999981;1;0;0;0"
"包胶轴承 30-6-6-改1.15-1","D:\WheelLeg\包胶轴承 30-6-6-改1.15.SLDPRT","默认","2","3.0688816650712101E-16;0.98192891909560509;-0.1892500933784097;5.9148011267864813E-17;0.18925009337841006;0.98192891909560509;1;-3.1253616172926588E-16;-5.1069725279216979E-22;0.075999999999999637;0.042500000000000059;-0.019999999999999976;1;0;0;0"
