rank,score,pose_LL,pose_Lcrank,pose_RL,pose_Rcrank,init_roll,kp,kd,kv,tail_abs_roll,max_abs_roll,tail_height,tail_abs_v,tail_leg_error,height_deficit,saturation,done,passed
112,0.194718,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,-0.5000,+2.0000,+0.0000,0.000001,0.005356,0.084676,0.001268,0.014023,0.002366,0.000000,False,True
113,0.195549,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+2.0000,-1.5000,-0.3000,0.000001,0.004972,0.084679,0.001172,0.013981,0.002410,0.000000,False,True
114,0.196785,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.5000,+1.0000,-0.3000,0.000001,0.005207,0.084646,0.001161,0.014662,0.002455,0.000000,False,True
115,0.196835,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.5000,+2.0000,-0.3000,0.000878,0.005635,0.085080,0.005217,0.015856,0.002323,0.000000,False,True
116,0.198220,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.5000,+3.0000,-0.3000,0.000001,0.004687,0.084659,0.001173,0.014107,0.002503,0.001250,False,True
117,0.198269,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.5000,-0.5000,-0.3000,0.000001,0.005023,0.084634,0.001274,0.014377,0.002535,0.000000,False,True
118,0.200012,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,-0.5000,-1.0000,-0.3000,0.000013,0.006584,0.084753,0.001349,0.012864,0.002658,0.000000,False,True
119,0.201385,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,-0.5000,-0.5000,+0.3000,0.002902,0.004546,0.085663,0.002958,0.020767,0.002361,0.000000,False,True
120,0.201564,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+1.0000,+0.5000,+0.5000,0.002482,0.005195,0.085715,0.006257,0.021144,0.002332,0.000000,False,True
121,0.201771,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,-2.0000,+0.5000,-0.5000,0.000001,0.007028,0.084701,0.001124,0.013516,0.002734,0.000000,False,True
122,0.202899,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+2.0000,-3.0000,+0.0000,0.001031,0.005231,0.085147,0.000941,0.022357,0.002483,0.001250,False,True
123,0.203223,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,-0.5000,+3.0000,-0.5000,0.000045,0.005547,0.084719,0.002990,0.013035,0.002751,0.001250,False,True
124,0.204555,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,-2.0000,+3.0000,+0.0000,0.002551,0.005334,0.085392,0.003263,0.016552,0.002562,0.002500,False,True
125,0.204771,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,-0.5000,+3.0000,+0.0000,0.000001,0.005959,0.084799,0.001228,0.012244,0.002802,0.003750,False,True
126,0.205111,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,-0.5000,-3.0000,+0.5000,0.002952,0.004785,0.085595,0.004030,0.019062,0.002533,0.001250,False,True
127,0.205981,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.5000,-0.5000,+0.3000,0.002291,0.009385,0.086079,0.050017,0.017283,0.002002,0.000000,False,True
128,0.209746,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.5000,+0.5000,-0.3000,0.001054,0.024670,0.085901,0.029275,0.015276,0.002614,0.000000,False,True
129,0.210419,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,-0.5000,-1.0000,+0.5000,0.002589,0.010979,0.085558,0.002439,0.022556,0.002791,0.000000,False,True
130,0.216098,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,+0.5000,-1.0000,+0.5000,0.000551,0.041818,0.086556,0.033352,0.013499,0.002677,0.008750,False,True
